Step:1   avg_loss:10814.9277344  counting:706.9998343    predict:21515.2050781
Step:2   avg_loss:10016.8261719  counting:262.0000020    predict:19320.2089844
Step:3   avg_loss:11166.1923828  counting:412.9999202    predict:22142.1835938
Step:4   avg_loss:9665.8203125   counting:584.9999324    predict:19717.7050781
Step:5   avg_loss:10949.6074219  counting:553.9999274    predict:22053.4765625
Step:6   avg_loss:7952.5341797   counting:1651.9999162   predict:16802.5214844
Step:7   avg_loss:4287.8095703   counting:145.0000187    predict:9017.7822266
Step:8   avg_loss:5909.3828125   counting:189.0000112    predict:11767.9667969
Step:9   avg_loss:8549.4218750   counting:919.9997411    predict:19167.8046875
Step:10  avg_loss:9299.7275391   counting:247.9999850    predict:18965.5781250
Step:11  avg_loss:8590.9199219   counting:553.9999438    predict:18694.2792969
Step:12  avg_loss:9474.4003906   counting:387.9999486    predict:20785.6406250
Step:13  avg_loss:8237.4257812   counting:378.0000236    predict:17628.1152344
Step:14  avg_loss:9638.3300781   counting:165.0000268    predict:20683.3808594
Step:15  avg_loss:12676.9003906  counting:160.9999885    predict:26976.2011719
Step:16  avg_loss:3413.4790039   counting:284.9999826    predict:7432.0810547
Step:17  avg_loss:9938.5664062   counting:280.0000154    predict:21950.7148438
Step:18  avg_loss:6636.6191406   counting:706.9999371    predict:13921.5273438
Step:19  avg_loss:9074.3349609   counting:407.9999793    predict:17997.6640625
Step:20  avg_loss:9799.0546875   counting:257.0000842    predict:19883.2187500
Step:21  avg_loss:6919.5483398   counting:508.9998561    predict:15364.8642578
Step:22  avg_loss:5303.5727539   counting:171.9999563    predict:12056.1162109
Step:23  avg_loss:8952.5126953   counting:160.0000138    predict:19564.1699219
Step:24  avg_loss:8796.9902344   counting:220.0000071    predict:19450.9296875
Step:25  avg_loss:7105.4545898   counting:1081.9998055   predict:17937.3417969
Step:26  avg_loss:5347.8935547   counting:774.9998121    predict:13438.2822266
Step:27  avg_loss:1520.6066895   counting:813.9999173    predict:4597.8569336
Step:28  avg_loss:3362.3964844   counting:622.9999013    predict:8480.7773438
Step:29  avg_loss:6871.2700195   counting:621.9998375    predict:15966.2216797
Step:30  avg_loss:7770.6381836   counting:974.9997776    predict:18901.8105469
Step:31  avg_loss:8157.7402344   counting:237.0000671    predict:18705.0859375
Step:32  avg_loss:8517.3076172   counting:263.0000253    predict:19764.4238281
Step:33  avg_loss:9914.8300781   counting:961.9997979    predict:18693.1191406
Step:34  avg_loss:7360.5317383   counting:651.9998424    predict:15701.5585938
Step:35  avg_loss:2709.1401367   counting:135.0000028    predict:6253.0322266
Step:36  avg_loss:6766.6840820   counting:416.9999465    predict:16297.2753906
Step:37  avg_loss:5529.7324219   counting:362.0000094    predict:13466.0732422
Step:38  avg_loss:6583.0087891   counting:410.9999900    predict:15874.2656250
Step:39  avg_loss:2125.4614258   counting:129.0000198    predict:5147.2202148
Step:40  avg_loss:6327.7636719   counting:401.9999815    predict:15830.1269531
Step:41  avg_loss:6171.5952148   counting:143.0000101    predict:15173.5761719
Step:42  avg_loss:6726.9150391   counting:240.0000362    predict:15531.1826172
Step:43  avg_loss:6356.5522461   counting:279.9999705    predict:15433.8134766
Step:44  avg_loss:4391.3505859   counting:759.9997953    predict:12030.2558594
Step:45  avg_loss:5466.5732422   counting:798.9998049    predict:13962.1806641
Step:46  avg_loss:5727.9760742   counting:370.9999691    predict:15133.8837891
Step:47  avg_loss:2000.0307617   counting:752.9998318    predict:5956.2460938
Step:48  avg_loss:8233.6083984   counting:492.9999644    predict:15400.8408203
Step:49  avg_loss:7069.5361328   counting:2348.0000272   predict:21500.5820312
Step:50  avg_loss:8759.2460938   counting:568.9999076    predict:14816.1025391
Step:51  avg_loss:7334.9682617   counting:1139.9998136   predict:16718.9492188
Step:52  avg_loss:5689.1542969   counting:257.0000061    predict:13568.2099609
Step:53  avg_loss:3848.8979492   counting:506.9999195    predict:9994.3847656
Step:54  avg_loss:4938.9150391   counting:206.0000205    predict:11955.1591797
Step:55  avg_loss:6493.4951172   counting:628.9999040    predict:13357.6083984
Step:56  avg_loss:8114.9814453   counting:301.9999515    predict:22268.8886719
Step:57  avg_loss:8615.4218750   counting:1590.9999034   predict:14466.5117188
Step:58  avg_loss:5404.7519531   counting:260.9999746    predict:14473.5517578
Step:59  avg_loss:5910.7421875   counting:280.0000041    predict:15933.5498047
Step:60  avg_loss:5355.8417969   counting:87.9999995     predict:14146.0058594
Step:61  avg_loss:1347.3098145   counting:642.9999369    predict:4223.5043945
Step:62  avg_loss:5470.3515625   counting:241.0000154    predict:15791.7441406
Step:63  avg_loss:6008.7299805   counting:212.0000104    predict:19215.8828125
Step:64  avg_loss:6294.9916992   counting:426.9999698    predict:16174.2753906
Step:65  avg_loss:6681.2783203   counting:849.9999390    predict:18222.4140625
Step:66  avg_loss:5937.1748047   counting:163.0000174    predict:15897.9716797
Step:67  avg_loss:5663.3310547   counting:199.0000431    predict:15580.3798828
Step:68  avg_loss:5038.1865234   counting:367.0000369    predict:13761.8720703
Step:69  avg_loss:6799.1450195   counting:417.9999782    predict:17486.7324219
Step:70  avg_loss:6458.2709961   counting:553.9999645    predict:17533.7851562
Step:71  avg_loss:4798.7626953   counting:268.0000069    predict:13415.3105469
Step:72  avg_loss:3612.8718262   counting:317.9999939    predict:10811.0058594
Step:73  avg_loss:2397.0874023   counting:423.9999391    predict:7493.4526367
Step:74  avg_loss:5187.4555664   counting:296.0000488    predict:14909.5429688
Step:75  avg_loss:3693.6396484   counting:685.9998852    predict:9977.8095703
Step:76  avg_loss:5050.7934570   counting:139.0000058    predict:14659.1660156
Step:77  avg_loss:5569.4238281   counting:115.0000023    predict:16219.2910156
Step:78  avg_loss:5839.7841797   counting:2020.0002434   predict:17078.6113281
Step:79  avg_loss:2257.7275391   counting:203.0000264    predict:5579.8735352
Step:80  avg_loss:604.8198242    counting:296.9999873    predict:2250.8925781
Step:81  avg_loss:5180.3798828   counting:239.0000274    predict:15379.4453125
Step:82  avg_loss:4318.3642578   counting:587.9998695    predict:14054.0537109
Step:83  avg_loss:2468.3515625   counting:2143.0001225   predict:9342.9072266
